Designator,Mid X,Mid Y,Layer,Rotation
C7020,24.6585,39.1383,TopLayer,180
C7019,71.4991,34.0918,TopLayer,270
C6060,65.7407,59.0823,BottomLayer,180
C6059,65.5883,60.9801,BottomLayer,90
C6058,66.9599,60.9547,BottomLayer,90
C6057,67.7877,53.0575,TopLayer,270
C6056,67.0511,56.9437,TopLayer,270
C6055,65.3597,56.9559,TopLayer,270
C6054,53.1065,87.2967,BottomLayer,90
C6053,52.0397,87.2967,BottomLayer,90
C6052,58.3643,87.2967,BottomLayer,90
C6051,59.3803,87.2967,BottomLayer,90
C6050,61.3615,56.4865,BottomLayer,270
C6049,68.0267,60.9619,BottomLayer,90
C6048,62.5657,60.9111,BottomLayer,0
C6047,69.5325,63.9591,BottomLayer,180
C6046,58.8319,64.2131,BottomLayer,180
C6045,62.5657,62.0033,BottomLayer,0
C6044,64.5215,60.9801,BottomLayer,90
C6043,64.5619,68.0253,BottomLayer,270
C6042,67.5337,68.0253,BottomLayer,270
C6041,69.5253,62.7653,BottomLayer,180
C6040,69.1189,60.9619,BottomLayer,90
C6039,63.8357,57.1845,BottomLayer,270
C6038,62.7689,57.1773,BottomLayer,270
C6037,73.9703,62.7907,BottomLayer,0
C6036,73.1249,66.8547,BottomLayer,0
C6035,73.2591,64.2639,BottomLayer,0
C6034,58.7485,68.2517,TopLayer,180
C6033,62.9363,64.6399,BottomLayer,0
C6032,73.1321,68.5311,BottomLayer,0
C6031,67.8489,72.0109,BottomLayer,90
C6030,65.0699,72.0313,TopLayer,90
C6029,59.8375,66.8243,BottomLayer,180
C6028,64.1405,56.9487,TopLayer,270
C6027,73.5893,61.4699,TopLayer,0
C4031,90.2667,18.3611,TopLayer,90
C4030,99.9695,18.2849,TopLayer,90
C4029,83.1801,18.4767,TopLayer,90
C4028,86.4059,24.8381,TopLayer,0
C4027,86.3805,26.1335,TopLayer,0
C4026,92.7051,18.4767,TopLayer,90
C4025,96.2103,24.8381,TopLayer,0
C4024,96.2357,26.1335,TopLayer,0
C3029,51.8873,57.8327,BottomLayer,180
C3028,49.2965,57.8073,BottomLayer,0
C3027,58.2373,44.4215,BottomLayer,0
C3026,44.8261,46.2503,TopLayer,180
C3025,48.5345,46.5805,TopLayer,90
C3024,59.2025,49.5523,BottomLayer,0
C3023,58.2373,43.3547,BottomLayer,0
C3022,41.2955,39.3923,BottomLayer,180
C3021,40.8129,40.6623,BottomLayer,180
C3020,55.2909,43.8119,TopLayer,0
C3019,55.3925,45.4375,TopLayer,0
C1043,9.1391,63.9541,TopLayer,180
C1042,11.7807,60.6775,TopLayer,270
C1041,14.2953,68.8563,BottomLayer,0
C1040,8.7581,69.9231,TopLayer,180
C1039,8.7581,75.0031,BottomLayer,180
C1038,8.7581,71.8281,TopLayer,180
C1037,14.6001,66.4941,BottomLayer,0
C1036,8.7581,66.0877,TopLayer,180
C1035,8.8597,67.7641,TopLayer,180
C1034,20.1373,59.8139,TopLayer,270
